saying,43,0.0290898%
set,43,0.0290898%
speak,43,0.0290898%
straight,43,0.0290898%
walked,43,0.0290898%
Yalta,42,0.0284133%
believe,42,0.0284133%
clear,42,0.0284133%
darkness,42,0.0284133%
doctor,42,0.0284133%
five,42,0.0284133%
foot,42,0.0284133%
hair,42,0.0284133%
lane,42,0.0284133%
rose,42,0.0284133%
sky,42,0.0284133%
temple,42,0.0284133%
ten,42,0.0284133%
vanished,42,0.0284133%
Riukhin,41,0.0277368%
We,41,0.0277368%
above,41,0.0277368%
arms,41,0.0277368%
conversation,41,0.0277368%
least,41,0.0277368%
leave,41,0.0277368%
lit,41,0.0277368%
lying,41,0.0277368%
neck,41,0.0277368%
silent,41,0.0277368%
thousand,41,0.0277368%
trying,41,0.0277368%
whom,41,0.0277368%
yesterday,41,0.0277368%
Don,40,0.0270603%
Griboedov,40,0.0270603%
My,40,0.0270603%
Not,40,0.0270603%
against,40,0.0270603%
known,40,0.0270603%
legs,40,0.0270603%
receiver,40,0.0270603%
shoes,40,0.0270603%
storm,40,0.0270603%
turn,40,0.0270603%
Nikolai,39,0.0263838%
Pontius,39,0.0263838%
Stravinsky,39,0.0263838%
With,39,0.0263838%
bench,39,0.0263838%
beside,39,0.0263838%
every,39,0.0263838%
few,39,0.0263838%
flying,39,0.0263838%
full,39,0.0263838%
gold,39,0.0263838%
hour,39,0.0263838%
hundred,39,0.0263838%
interesting,39,0.0263838%
may,39,0.0263838%
story,39,0.0263838%
visitor,39,0.0263838%
However,38,0.0257073%
Let,38,0.0257073%
Sadovaya,38,0.0257073%
among,38,0.0257073%
bedroom,38,0.0257073%
bookkeeper,38,0.0257073%
cloak,38,0.0257073%
done,38,0.0257073%
empty,38,0.0257073%
lights,38,0.0257073%
our,38,0.0257073%
restaurant,38,0.0257073%
somehow,38,0.0257073%
start,38,0.0257073%
teeth,38,0.0257073%
Who,37,0.0250308%
below,37,0.0250308%
either,37,0.0250308%
home,37,0.0250308%
hung,37,0.0250308%
living,37,0.0250308%
low,37,0.0250308%
quickly,37,0.0250308%
should,37,0.0250308%
smiled,37,0.0250308%
Apollonovich,36,0.0243543%
Arkady,36,0.0243543%
For,36,0.0243543%
Just,36,0.0243543%
ball,36,0.0243543%
blood,36,0.0243543%
box,36,0.0243543%
brought,36,0.0243543%
certain,36,0.0243543%
fat,36,0.0243543%
find,36,0.0243543%
getting,36,0.0243543%
golden,36,0.0243543%
lady,36,0.0243543%
magician,36,0.0243543%
novel,36,0.0243543%
silence,36,0.0243543%
tried,36,0.0243543%
Ponds,35,0.0236778%
Poplavsky,35,0.0236778%
corner,35,0.0236778%
hat,35,0.0236778%
means,35,0.0236778%
moonlight,35,0.0236778%
naked,35,0.0236778%
nice,35,0.0236778%
palace,35,0.0236778%
poured,35,0.0236778%
road,35,0.0236778%
stairs,35,0.0236778%
street,35,0.0236778%
telephone,35,0.0236778%
women,35,0.0236778%
If,34,0.0230013%
Queen,34,0.0230013%
When,34,0.0230013%
big,34,0.0230013%
briefcase,34,0.0230013%
cold,34,0.0230013%
desk,34,0.0230013%
does,34,0.0230013%
finger,34,0.0230013%
green,34,0.0230013%
holding,34,0.0230013%
investigation,34,0.0230013%
mouth,34,0.0230013%
perfectly,34,0.0230013%
police,34,0.0230013%
rushed,34,0.0230013%
smile,34,0.0230013%
together,34,0.0230013%
bad,33,0.0223248%
cut,33,0.0223248%
dead,33,0.0223248%
each,33,0.0223248%
huge,33,0.0223248%
inquired,33,0.0223248%
knife,33,0.0223248%
river,33,0.0223248%
running,33,0.0223248%
smiling,33,0.0223248%
stone,33,0.0223248%
tram,33,0.0223248%
CHAPTER,32,0.0216482%
Hella,32,0.0216482%
currency,32,0.0216482%
explained,32,0.0216482%
free,32,0.0216482%
hard,32,0.0216482%
Do,31,0.0209717%
across,31,0.0209717%
blue,31,0.0209717%
burst,31,0.0209717%
cannot,31,0.0209717%
dear,31,0.0209717%
hanging,31,0.0209717%
minutes,31,0.0209717%
nor,31,0.0209717%
passed,31,0.0209717%
realized,31,0.0209717%
remember,31,0.0209717%
shoulders,31,0.0209717%
since,31,0.0209717%
taking,31,0.0209717%
today,31,0.0209717%
wine,31,0.0209717%
From,30,0.0202952%
Patriarch,30,0.0202952%
beg,30,0.0202952%
better,30,0.0202952%
business,30,0.0202952%
caught,30,0.0202952%
changed,30,0.0202952%
entrance,30,0.0202952%
fear,30,0.0202952%
flashed,30,0.0202952%
ground,30,0.0202952%
kitchen,30,0.0202952%
lost,30,0.0202952%
myself,30,0.0202952%
part,30,0.0202952%
pocket,30,0.0202952%
really,30,0.0202952%
sick,30,0.0202952%
softly,30,0.0202952%
steps,30,0.0202952%
talking,30,0.0202952%
waiting,30,0.0202952%
always,29,0.0196187%
armchair,29,0.0196187%
basement,29,0.0196187%
building,29,0.0196187%
burning,29,0.0196187%
cap,29,0.0196187%
ceremonies,29,0.0196187%
chest,29,0.0196187%
citizens,29,0.0196187%
clinic,29,0.0196187%
dog,29,0.0196187%
dropped,29,0.0196187%
earth,29,0.0196187%
everyone,29,0.0196187%
fence,29,0.0196187%
foreign,29,0.0196187%
four,29,0.0196187%
heavy,29,0.0196187%
jumped,29,0.0196187%
lips,29,0.0196187%
meeting,29,0.0196187%
near,29,0.0196187%
pale,29,0.0196187%
paper,29,0.0196187%
pulled,29,0.0196187%
repeated,29,0.0196187%
several,29,0.0196187%
speaking,29,0.0196187%
standing,29,0.0196187%
talk,29,0.0196187%
unexpectedly,29,0.0196187%
yellow,29,0.0196187%
Ha,28,0.0189422%
Matthew,28,0.0189422%
fact,28,0.0189422%
following,28,0.0189422%
handed,28,0.0189422%
help,28,0.0189422%
many,28,0.0189422%
met,28,0.0189422%
order,28,0.0189422%
secret,28,0.0189422%
single,28,0.0189422%
surprised,28,0.0189422%
trousers,28,0.0189422%
Nozri,27,0.0182657%
Of,27,0.0182657%
Some,27,0.0182657%
Where,27,0.0182657%
aside,27,0.0182657%
besides,27,0.0182657%
beyond,27,0.0182657%
bring,27,0.0182657%
checkered,27,0.0182657%
columns,27,0.0182657%
dream,27,0.0182657%
former,27,0.0182657%
lamp,27,0.0182657%
number,27,0.0182657%
others,27,0.0182657%
poor,27,0.0182657%
read,27,0.0182657%
sleep,27,0.0182657%
slightly,27,0.0182657%
spring,27,0.0182657%
stepped,27,0.0182657%
telegram,27,0.0182657%
times,27,0.0182657%
whose,27,0.0182657%
By,26,0.0175892%
Ivanushka,26,0.0175892%
Kaifa,26,0.0175892%
almost,26,0.0175892%
ance,26,0.0175892%
centurion,26,0.0175892%
crowd,26,0.0175892%
cry,26,0.0175892%
curtain,26,0.0175892%
didn,26,0.0175892%
drew,26,0.0175892%
drunk,26,0.0175892%
during,26,0.0175892%
glance,26,0.0175892%
killed,26,0.0175892%
matter,26,0.0175892%
mind,26,0.0175892%
minute,26,0.0175892%
noise,26,0.0175892%
rang,26,0.0175892%
soul,26,0.0175892%
square,26,0.0175892%
stop,26,0.0175892%
stuck,26,0.0175892%
written,26,0.0175892%
years,26,0.0175892%
Hegemon,25,0.0169127%
Latunsky,25,0.0169127%
Professor,25,0.0169127%
amazement,25,0.0169127%
announced,25,0.0169127%
attention,25,0.0169127%
begin,25,0.0169127%
closed,25,0.0169127%
dirty,25,0.0169127%
execution,25,0.0169127%
held,25,0.0169127%
hill,25,0.0169127%
indeed,25,0.0169127%
late,25,0.0169127%
leg,25,0.0169127%
listening,25,0.0169127%
mirror,25,0.0169127%
mysterious,25,0.0169127%
picked,25,0.0169127%
present,25,0.0169127%
quiet,25,0.0169127%
rather,25,0.0169127%
reached,25,0.0169127%
sharp,25,0.0169127%
soldiers,25,0.0169127%
terrace,25,0.0169127%
thrown,25,0.0169127%
truth,25,0.0169127%
until,25,0.0169127%
whether,25,0.0169127%
